target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
51145,2023,7,2,"51036,51036"
20095,2020,7,1,20033
21015,2025,6,1,21097
47179,2023,8,1,51520
48251,2020,5,1,48193
31129,2020,5,5,"31095,31095,31151,31095,31151"
48037,2021,4,2,"48459,48119"
18023,2023,6,3,"18181,18103,18181"
37065,2025,4,1,37187
18111,2020,8,1,18131
54109,2025,1,2,"21159,21195"
48181,2020,6,1,48119
33015,2024,8,1,25025
48061,2024,9,1,48047
01081,2024,5,2,"13053,13053"
42013,2025,3,1,42023
18123,2024,8,3,"18125,18173,18173"
17001,2020,6,6,"17017,17013,17017,29103,29205,29205"
31097,2022,9,3,"31023,31147,31147"
05029,2024,3,1,05137
45001,2025,5,1,13221
47055,2022,1,2,"28141,47051"
37071,2025,6,1,45023
22111,2025,5,4,"05011,05017,05011,05017"
48001,2022,5,1,48471
54047,2020,4,1,21159
08117,2022,7,2,"08047,08047"
01119,2025,5,3,"28023,28023,28061"
42007,2022,2,2,"54009,54009"
18175,2020,7,1,21223
20015,2024,6,1,40053
39135,2020,7,3,"18135,18075,18135"
53073,2021,11,3,"53029,53031,53029"
34027,2024,5,1,36085
48219,2020,3,4,"48369,48369,48165,48165"
48307,2022,5,3,"48093,48333,48333"
19127,2023,7,2,"19079,19079"
40055,2023,10,1,40129
01069,2022,1,1,01039
13277,2020,4,2,"13017,13017"
29031,2023,5,4,"29123,29123,29186,29069"
29141,2025,5,1,29151
30111,2020,6,2,"56033,56029"
08005,2024,5,2,"08019,08047"
21161,2024,7,4,"21097,21181,21097,21181"
55009,2025,5,7,"26019,26089,26019,26101,26101,26105,55041"
08097,2024,7,4,"08109,08029,08109,08029"
42121,2023,8,1,39007
28081,2022,8,7,"28013,28141,01075,28013,28139,28141,28139"
51061,2020,6,1,51685
04021,2024,8,2,"04027,04027"
47131,2022,7,5,"47033,47097,47017,47033,47017"
06093,2021,7,9,"41015,06045,41037,06045,41019,41015,41019,41019,41037"
48001,2025,6,1,48455
13001,2023,3,7,"13209,13271,13309,13107,13107,13209,13283"
13223,2021,8,1,13149
48385,2021,3,1,48507
13265,2025,6,8,"13219,13237,13009,13125,13237,13219,13125,13163"
17031,2024,6,2,"18111,18149"
30033,2022,8,1,30005
56007,2025,6,7,"08049,49009,08037,08045,08049,49009,49043"
48405,2024,1,2,"48225,48455"
40007,2023,2,4,"40043,40129,48211,48211"
38061,2023,6,2,"38083,30091"
37143,2020,9,2,"37095,37095"
20119,2020,5,1,20033
26111,2021,6,4,"26011,26113,26011,26129"
39037,2023,4,1,18009
47111,2025,6,2,"21053,47137"
28153,2025,5,4,"28039,28129,28129,28039"
46073,2021,10,4,"46035,46077,46035,46077"
13111,2024,8,1,13281
51001,2023,6,3,"51199,51199,51735"
18179,2025,4,1,18103
28035,2025,6,8,"28065,28129,28061,28129,28065,28039,28041,28039"
33001,2020,5,1,50017
22039,2020,4,2,"22077,22077"
16001,2021,5,6,"16075,16025,16047,16003,16075,32013"
47113,2021,7,8,"47039,47183,47071,47183,28009,28139,47039,47071"
40145,2021,5,2,"40035,40035"
13009,2021,4,2,"13021,13023"
54045,2025,6,2,"21159,21195"
45061,2024,8,1,45033
54103,2020,8,1,54021
32031,2021,6,3,"41035,41023,41035"
48087,2023,5,4,"40129,48211,40129,48211"
26053,2025,5,3,"55041,26083,55041"
30007,2023,6,2,"56039,30107"
29145,2021,7,2,"40035,40035"
23013,2021,6,1,23023
36111,2024,7,1,34031
46102,2024,4,4,"31017,31091,31103,31171"
29099,2025,6,3,"29073,29157,29157"
17185,2024,8,5,"18129,18125,18129,18173,18125"
06019,2023,4,7,"06079,06085,32019,06079,06087,06085,06087"
13201,2023,1,2,"13037,13037"
45029,2021,12,1,45043
25027,2024,7,2,"25025,25025"
27033,2023,10,3,"27013,27173,27013"
40123,2023,9,3,"40005,40005,40013"
01081,2021,4,3,"13053,13259,13053"
53069,2024,12,5,"53059,53053,53059,53067,53077"
17095,2022,7,3,"17071,19115,17071"
13297,2023,5,11,"13157,13121,13157,13133,13159,13035,13151,13159,13133,13157,13151"
18177,2024,6,1,18059
48101,2022,7,4,"48433,48275,48275,48433"
21151,2024,8,2,"21017,21017"
20005,2025,6,1,29063
12105,2020,8,3,"12027,12027,12027"
39089,2025,4,6,"39075,39101,39117,39005,39075,39117"
48035,2020,5,1,48333
29195,2023,3,1,29135
17061,2025,5,2,"17009,17009"
25021,2020,10,3,"25007,44001,44001"
48299,2022,7,1,48333
48053,2023,3,1,48193
48443,2024,5,2,"48377,48475"
26081,2020,6,1,26133
06065,2021,12,2,"04027,04027"
48439,2022,4,3,"48217,48217,48425"
48023,2023,9,2,"48077,48077"
48019,2022,4,2,"48013,48013"
